,base-10,base-10,base-6,base-6,base-7,base-7,base-8,base-8,base-9,base-9,num_bases,num_bases,num_unique_bases,num_unique_bases,successes,successes
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
860,179.37833333333333,7.057043565749672,1.4716666666666667,1.2790089479315194,4.54,2.485638750904885,11.19,4.454649256675543,32.595,10.660252107713024,229.175,8.413543149787328,4.716666666666667,0.4615794141375432,0.8183333333333334,0.38556956426679806
870,179.93666666666667,7.033680086239029,1.4383333333333332,1.2778356267098305,4.398333333333333,2.4364586094484726,10.911666666666667,4.420467232720491,31.998333333333335,10.60117904868237,228.68333333333334,8.394028962436469,4.71,0.46465040621955933,0.8083333333333333,0.3936121892873174
880,180.52166666666668,6.9971087282931,1.3983333333333334,1.2621399376543883,4.238333333333333,2.3961491096247647,10.633333333333333,4.393429437492109,31.351666666666667,10.458712343729937,228.14333333333335,8.271202384713403,4.701666666666667,0.46832740209767465,0.8183333333333334,0.3855695642667983
890,180.99666666666667,6.907965611443704,1.36,1.2235467570414558,4.116666666666666,2.378316397977546,10.356666666666667,4.315799140625314,30.731666666666666,10.385229762611047,227.56166666666667,8.129546762000667,4.698333333333333,0.47328344807548706,0.8283333333333334,0.37709046954573416
900,181.54333333333332,6.8635356939570284,1.3166666666666667,1.1998842536770937,3.965,2.3396100102367483,10.073333333333334,4.23650275056627,30.155,10.3920310013651,227.05333333333334,8.117295663513126,4.68,0.4874423042781587,0.83,0.37563279941985683
910,182.06166666666667,6.777501793106041,1.275,1.1673509897769943,3.8183333333333334,2.290268664492344,9.785,4.170784298746064,29.623333333333335,10.390931409433684,226.56333333333333,8.013487935280674,4.668333333333333,0.49497194084333834,0.8133333333333334,0.3896437118987328
920,182.55,6.703046571025253,1.2216666666666667,1.1601137396345613,3.695,2.2513644011280496,9.501666666666667,4.102437960801144,29.001666666666665,10.339326084851411,225.97,8.005566813161952,4.6466666666666665,0.5051292463870566,0.8533333333333334,0.35377331097124165
930,183.095,6.511731080647188,1.175,1.1406321346808819,3.5833333333333335,2.2187959697898227,9.211666666666666,4.046010037335823,28.41,10.26508158759589,225.475,7.9937084635355555,4.628333333333333,0.5165887037952832,0.825,0.3799671038392674
940,183.60666666666665,6.413939680276244,1.1316666666666666,1.1214561466633017,3.465,2.1928919262015603,8.956666666666667,4.003930013818368,27.80666666666667,10.180010914641608,224.96666666666667,7.974055151273757,4.61,0.523991094071899,0.8316666666666667,0.3741620266972887
950,184.06166666666667,6.319113642135447,1.0866666666666667,1.116164065996669,3.3466666666666667,2.1555715921511167,8.715,3.9013384455423306,27.245,10.087201874983307,224.455,7.822487349515709,4.578333333333333,0.5390088640788304,0.84,0.3666060555964654
960,184.52833333333334,6.248135499668865,1.0566666666666666,1.1045914277334519,3.22,2.075636448578283,8.415,3.8457043134732416,26.698333333333334,9.971826841434602,223.91833333333332,7.680386094172323,4.565,0.5407787594448064,0.84,0.3666060555964653
970,185.025,6.176652950155659,1.0433333333333332,1.1036857443231813,3.1133333333333333,2.0307196316139335,8.21,3.7897977078818728,26.186666666666667,9.868053956525008,223.57833333333335,7.6692370691107365,4.555,0.5449541265097451,0.855,0.3521008378291662
980,185.445,6.164439012054,0.9983333333333333,1.070045429980536,3.013333333333333,1.9840586908881752,7.961666666666667,3.70992325467193,25.58,9.755524930349301,222.99833333333333,7.473843091446019,4.54,0.5462600113499069,0.8633333333333333,0.34349510751812495
990,185.86833333333334,6.148793693797919,0.97,1.0594495426084898,2.9133333333333336,1.9448621773505899,7.741666666666666,3.635693041070557,25.083333333333332,9.659868299079228,222.57666666666665,7.346254525644726,4.52,0.5534136487896433,0.8533333333333334,0.3537733109712416
1000,186.25166666666667,6.069733428157203,0.93,1.028801892170372,2.805,1.8974478473289682,7.513333333333334,3.584664868885558,24.541666666666668,9.583228260293561,222.04166666666666,7.228641911790125,4.498333333333333,0.5597593729054985,0.8566666666666667,0.3504124553849203
1010,186.60833333333332,5.930283626344435,0.9,1.0198039027185541,2.6933333333333334,1.8608122479772726,7.288333333333333,3.5324963631340855,23.99,9.519798667338861,221.48,7.153059951284249,4.48,0.5623759122390167,0.8633333333333333,0.34349510751812534
1020,187.03166666666667,5.825289453943229,0.8683333333333333,1.0087932835268554,2.6083333333333334,1.8004436181736463,7.04,3.5121313566930685,23.436666666666667,9.43553507874473,220.985,7.1408292002166425,4.461666666666667,0.5673304935299067,0.8616666666666667,0.34524950720054837
1030,187.44833333333332,5.759687250382803,0.83,0.983751323590808,2.4916666666666667,1.730105167002537,6.838333333333333,3.4470563125980744,22.89666666666667,9.261532750516457,220.505,6.9632350001035235,4.435,0.5678394726211476,0.8833333333333333,0.3210226714043029
1040,187.79833333333335,5.703302892963765,0.805,0.9662513475626651,2.3983333333333334,1.6979391102811188,6.6466666666666665,3.3712246373618515,22.361666666666668,9.145720158753074,220.01,6.850783410189914,4.411666666666667,0.5705528507996054,0.885,0.31902194281898416
1050,188.14,5.600035714171827,0.7866666666666666,0.9440103577586219,2.3383333333333334,1.6483923144149333,6.42,3.289924011280502,21.85333333333333,9.09240464465931,219.53833333333333,6.771154300084705,4.401666666666666,0.5747439043222252,0.865,0.3417235724968363
1060,188.45166666666665,5.567255208408864,0.765,0.9326172848494697,2.236666666666667,1.6167835009329097,6.2,3.2129944496269074,21.371666666666666,9.041397231008535,219.025,6.7572954402383925,4.376666666666667,0.5814827789558552,0.8716666666666667,0.33446059392533745
1070,188.885,5.45237944998939,0.745,0.9219408874759796,2.18,1.6075654470865777,6.045,3.117099346080154,20.84,8.92903876872161,218.695,6.685454983270271,4.358333333333333,0.5887250820393362,0.89,0.31288975694323845
