,base-10,base-10,base-6,base-6,base-7,base-7,base-8,base-8,base-9,base-9,num_bases,num_bases,num_unique_bases,num_unique_bases,successes,successes
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
840,175.71833333333333,8.179792003603895,4.466666666666667,2.426016396390508,8.885,3.8916716630945785,14.645,5.781491301270516,33.998333333333335,11.41862501452002,237.71333333333334,10.016876869674611,4.9816666666666665,0.1341537260840043,0.7633333333333333,0.4250359461922641
850,176.4,8.106787279804497,4.366666666666666,2.3935097428021654,8.665,3.844403941662043,14.283333333333333,5.663602112515397,33.358333333333334,11.319301975926884,237.07333333333332,9.880011246057478,4.9783333333333335,0.14559265854507356,0.7666666666666667,0.42295258468164915
860,177.08,7.994806647651536,4.25,2.3687197667375797,8.435,3.823930133601643,13.958333333333334,5.62967706790442,32.843333333333334,11.242869839245772,236.56666666666666,9.860132971832687,4.973333333333334,0.16110727964792695,0.7933333333333333,0.40491425704160666
870,177.695,7.923507745941818,4.083333333333333,2.3244473656238323,8.193333333333333,3.773498229612529,13.555,5.564498330188144,32.32666666666667,11.23817699728128,235.85333333333332,9.94695039809801,4.97,0.17058722109231944,0.79,0.4073082370883259
880,178.31833333333333,7.832219601676706,3.973333333333333,2.2537277761275667,7.963333333333333,3.6930550436671745,13.233333333333333,5.496564583648796,31.718333333333334,11.135034675393802,235.20666666666668,9.802412401490196,4.966666666666667,0.17950549357115053,0.7883333333333333,0.40848976595367414
890,178.875,7.76805692134998,3.86,2.2421120994871497,7.738333333333333,3.6569382305724307,12.905,5.456431220740042,31.148333333333333,11.001196778330778,234.52666666666667,9.70614696410934,4.963333333333333,0.18794207145347358,0.7933333333333333,0.40491425704160666
900,179.45,7.727709880682637,3.735,2.192739914657763,7.51,3.635918040880458,12.5,5.306913729592119,30.638333333333332,10.915472072043238,233.83333333333334,9.579781950661642,4.956666666666667,0.2036063740543402,0.7833333333333333,0.4119735698102771
910,180.00166666666667,7.61588234473779,3.635,2.1397293442551764,7.3,3.573047252229759,12.171666666666667,5.217170103503323,30.018333333333334,10.863455430427685,233.12666666666667,9.569428172861503,4.956666666666667,0.2036063740543402,0.8433333333333334,0.3634862063713317
920,180.55666666666667,7.58354285424841,3.5283333333333333,2.0926531538270323,7.095,3.4707311909740266,11.846666666666666,5.112385831379407,29.435,10.767966768769924,232.46166666666667,9.398148606093773,4.955,0.20730412441627838,0.8,0.4000000000000013
930,181.09166666666667,7.469042590735593,3.408333333333333,2.0562742737506854,6.905,3.4306425540025773,11.533333333333333,5.0703933662871625,28.811666666666667,10.692966405799451,231.75,9.287671039250547,4.946666666666666,0.22469732728470362,0.815,0.3882975663070802
940,181.60333333333332,7.332074892022189,3.283333333333333,2.01487523738375,6.68,3.372081454136798,11.203333333333333,4.971785952306829,28.205,10.635615089562677,230.975,9.220324018167704,4.94,0.2374868417407576,0.7983333333333333,0.4012445915177217
