,param,value,run,t_max,v_max,t_int,v_int
266,N,50,7,727,0.03309622625857722,83916.0,0.0007671020246085014
267,N,50,8,561,0.03371654110696731,81249.0,0.0007911399597539948
268,N,50,9,911,0.03064306016356655,78666.0,0.0008083021395077773
269,N,50,10,660,0.03285116845811808,131898.0,0.00048620790586761936
270,N,50,11,448,0.03567415466627688,58821.0,0.0010495230769662633
271,N,50,12,543,0.03384431806096,69132.0,0.0009464595505761508
272,N,50,13,639,0.035784215680294114,73745.0,0.0008478877909148252
273,N,50,14,599,0.034865622401849095,95490.0,0.0007027514113078227
274,N,50,15,599,0.034521304928724295,86671.0,0.000711047083286509
275,N,50,16,599,0.03184904776974706,92455.0,0.0006825570028117234
276,N,50,17,477,0.036313433917031464,73745.0,0.0008658932036045286
277,N,50,18,660,0.035023109486270965,176397.0,0.0003814412971450132
278,N,50,19,543,0.032175960505365975,92455.0,0.0006967222778446747
279,N,50,20,660,0.03298604171525854,92455.0,0.0007737557301252806
280,N,100,1,911,0.034173746284793534,408528.0,0.00033055294833328475
281,N,100,2,1387,0.033229724499769464,528989.0,0.0002455912372263392
282,N,100,3,1219,0.035890137836824376,347601.0,0.0003708654320622173
283,N,100,4,1143,0.036072689006863,347601.0,0.0003500648951044738
284,N,100,5,1180,0.03483402931115576,946132.0,0.0001438697417128765
285,N,100,6,1433,0.03323138744771858,315499.0,0.000432708818361327
286,N,100,7,1004,0.035001789327184785,286360.0,0.0004494559844365753
287,N,100,8,1259,0.033609752982198586,663198.0,0.0001978909763384884
288,N,100,9,1180,0.034021096026961566,831456.0,0.00016463905722563507
289,N,100,10,911,0.036165119287615344,621709.0,0.00023751816597439301
290,N,100,11,1071,0.035158036554393764,305470.0,0.00042025703526560315
291,N,100,12,1219,0.03516219002898868,464873.0,0.000281106593020386
292,N,100,13,1143,0.03648834130980827,512175.0,0.00026746725467630133
293,N,100,14,1343,0.032731201276406274,305470.0,0.0004350113983839776
294,N,100,15,1343,0.032756501612745126,295761.0,0.00045184453819535614
295,N,100,16,1180,0.03523253812703775,450097.0,0.000290820817591797
296,N,100,17,854,0.033106317284458335,512175.0,0.0002476273786853333
297,N,100,18,1387,0.03290780169974284,450097.0,0.0003126412879570495
298,N,100,19,1180,0.0342266391391437,305470.0,0.00041094125775620327
299,N,100,20,1180,0.03349302036232027,347601.0,0.00037857324495327305
300,N,150,1,1739,0.03430554381411621,707455.0,0.0002814819977041694
301,N,150,2,1916,0.03662430913459192,,
302,N,150,3,1739,0.03511562455398387,,
303,N,150,4,1796,0.03567658720994249,730680.0,0.00027121570526045247
304,N,150,5,1979,0.03392129155212542,582815.0,0.0003472725596203041
305,N,150,6,1433,0.0356288707572987,,
306,N,150,7,1343,0.03365147836452387,,
307,N,150,8,2111,0.034665082372636664,730680.0,0.0002710644532726292
308,N,150,9,1979,0.03481765375792012,946132.0,0.0002094236840655128
309,N,150,10,1979,0.033144818867623986,601948.0,0.00031760302632388715
310,N,150,11,1855,0.034987206395340475,480134.0,0.0004099774787467148
311,N,150,12,1739,0.033927920337674784,,
312,N,150,13,1579,0.03710937929572111,,
313,N,150,14,1796,0.03467340989340961,707455.0,0.0002908990075085605
314,N,150,15,1979,0.034247193292032296,,
315,N,150,16,2181,0.03447603377192365,,
316,N,150,17,2044,0.03586420312369798,,
317,N,150,18,1528,0.0351653577261124,,
318,N,150,19,1796,0.0347068147666989,805029.0,0.0002488373754601092
319,N,150,20,1259,0.035926871628957364,684969.0,0.0003017582780038275
320,N,200,1,2252,0.035248094710489834,,
321,N,200,2,2044,0.0349098723134702,,
322,N,200,3,2403,0.034188225327641764,,
323,N,200,4,2824,0.03478253044303425,,
324,N,200,5,2403,0.03464574240335727,,
325,N,200,6,2563,0.034372863785091745,,
326,N,200,7,2647,0.03541160939959509,,
327,N,200,8,1855,0.033809375127392016,,
328,N,200,9,2916,0.03515793506882714,,
329,N,200,10,2181,0.034043275016394585,,
330,N,200,11,2824,0.03507565258840328,,
331,N,200,12,2111,0.03509025845323821,,
332,N,200,13,2181,0.03516817098121905,,
333,N,200,14,2326,0.034557812518560826,,
334,N,200,15,2481,0.033929231207472384,,
335,N,200,16,2916,0.03370592624281343,,
336,N,200,17,2734,0.035710106727874,,
337,N,200,18,2181,0.03528687928484508,,
338,N,200,19,2111,0.034670092631555516,,
339,N,200,20,2481,0.03387352353004491,,
